name,Tb (K),a_acc,a_don,a_heavy,a_nC,a_nN,a_nO,logP(o/w),TPSA,Weight
0,111.65,0,0,1,1,0,0,0.1089,0,16.042999
1,184.58,0,0,2,2,0,0,1.6578,0,30.07
2,231.11,0,0,3,3,0,0,2.2707,0,44.097
3,272.67999,0,0,4,4,0,0,2.8836,0,58.124001
4,309.20999,0,0,5,5,0,0,3.4965,0,72.151001
5,341.89001,0,0,6,6,0,0,4.1093998,0,86.178001
6,371.56,0,0,7,7,0,0,4.7223001,0,100.205
7,398.82001,0,0,8,8,0,0,5.3351998,0,114.23199
8,423.98001,0,0,9,9,0,0,5.9481001,0,128.259
9,447.29999,0,0,10,10,0,0,6.5609999,0,142.286
10,469.09,0,0,11,11,0,0,7.1739001,0,156.313
11,489.48001,0,0,12,12,0,0,7.7867999,0,170.34
12,508.60999,0,0,13,13,0,0,8.3997002,0,184.36699
13,526.71002,0,0,14,14,0,0,9.0125999,0,198.394
14,543.81,0,0,15,15,0,0,9.6254997,0,212.42099
15,560.03998,0,0,16,16,0,0,10.2384,0,226.448
16,573.40997,0,0,17,17,0,0,10.8513,0,240.47499
17,588.19,0,0,18,18,0,0,11.4642,0,254.502
18,602.85999,0,0,19,19,0,0,12.0771,0,268.52899
19,612.69,0,0,20,20,0,0,12.69,0,282.556
20,261.45001,0,0,4,4,0,0,2.7995999,0,58.124001
21,300.98999,0,0,5,5,0,0,3.4124999,0,72.151001
22,331.16,0,0,6,6,0,0,3.9414001,0,86.178001
23,333.41,0,0,6,6,0,0,4.0254002,0,86.178001
24,362.97,0,0,7,7,0,0,4.5542998,0,100.205
25,387.91,0,0,8,8,0,0,5.1241999,0,114.23199
26,372.39001,0,0,8,8,0,0,5.1241999,0,114.23199
27,225.50999,0,0,3,3,0,0,1.5907,0,42.080997
28,266.89999,0,0,4,4,0,0,2.2365999,0,56.107998
29,276.87,0,0,4,4,0,0,1.8696001,0,56.107998
30,303.14001,0,0,5,5,0,0,2.8494999,0,70.135002
31,336.62,0,0,6,6,0,0,3.4624,0,84.161995
32,366.85999,0,0,7,7,0,0,4.0753002,0,98.188995
33,394.45001,0,0,8,8,0,0,4.6882,0,112.216
34,420.04999,0,0,9,9,0,0,5.3010998,0,126.243
35,443.82001,0,0,10,10,0,0,5.914,0,140.27
36,266.22,0,0,4,4,0,0,1.8056,0,56.107998
37,304.31,0,0,5,5,0,0,2.4514999,0,70.135002
38,311.70999,0,0,5,5,0,0,2.0845001,0,70.135002
39,268.69,0,0,4,4,0,0,2.2976,0,54.091999
40,307.20999,0,0,5,5,0,0,2.5125,0,68.118996
41,188.89,0,0,2,2,0,0,0.156,0,26.038
42,249.96001,0,0,3,3,0,0,0.89289999,0,40.064999
43,302.14999,0,0,5,5,0,0,2.0797,0,68.118996
44,329.26999,0,0,5,5,0,0,2.2757001,0,68.118996
45,344.48001,0,0,6,6,0,0,2.7646,0,82.145996
46,357.67001,0,0,6,6,0,0,2.8886001,0,82.145996
47,354.35001,0,0,6,6,0,0,2.9216001,0,82.145996
48,372.92999,0,0,7,7,0,0,3.3775001,0,96.172997
49,399.35001,0,0,8,8,0,0,3.9904001,0,110.2
50,322.39999,0,0,5,5,0,0,3.0025001,0,70.135002
51,344.98001,0,0,6,6,0,0,3.5314,0,84.161995
52,376.66,0,0,7,7,0,0,4.1443,0,98.188995
53,353.87,0,0,6,6,0,0,3.6154001,0,84.161995
54,374.09,0,0,7,7,0,0,4.1443,0,98.188995
55,392.70001,0,0,8,8,0,0,4.7142,0,112.216
56,404.98001,0,0,8,8,0,0,4.7571998,0,112.216
57,317.39001,0,0,5,5,0,0,2.0545001,0,68.118996
58,348.95001,0,0,6,6,0,0,2.2693999,0,82.145996
59,356.12,0,0,6,6,0,0,2.6673999,0,82.145996
60,353.22,0,0,6,6,0,0,1.906,0,78.113998
61,383.79001,0,0,7,7,0,0,2.3749001,0,92.140999
62,417.59,0,0,8,8,0,0,2.8418,0,106.168
63,412.29001,0,0,8,8,0,0,2.8808,0,106.168
64,411.5,0,0,8,8,0,0,2.8438001,0,106.168
65,409.32999,0,0,8,8,0,0,3.0208001,0,106.168
66,432.39999,0,0,9,9,0,0,3.6336999,0,120.195
67,442.51001,0,0,9,9,0,0,3.3477001,0,120.195
68,425.59,0,0,9,9,0,0,3.5617001,0,120.195
69,437.89001,0,0,9,9,0,0,3.4237001,0,120.195
70,449.92999,0,0,10,10,0,0,4.0306001,0,134.222
71,491.12,0,0,10,10,0,0,3.128,0,128.174
72,528.71997,0,0,12,12,0,0,3.8659999,0,154.21199
73,418.31,0,0,8,8,0,0,3.0818,0,104.152
74,337.76999,1,1,2,1,0,1,-0.40400001,20.23,32.042
75,351.42001,1,1,3,2,0,1,-0.063000001,20.23,46.069
76,370.28,1,1,4,3,0,1,0.551,20.23,60.096001
77,390.85999,1,1,5,4,0,1,0.99299997,20.23,74.123001
78,355.39999,1,1,4,3,0,1,0.39899999,20.23,60.096001
79,355.51999,1,1,5,4,0,1,0.80599999,20.23,74.123001
80,409,1,1,6,5,0,1,1.4349999,20.23,88.150002
81,404.17999,1,1,6,5,0,1,1.351,20.23,88.150002
82,430.28,1,1,7,6,0,1,1.877,20.23,102.17699
83,450.23001,1,1,8,7,0,1,2.319,20.23,116.20399
84,460.62,2,2,5,3,0,2,-0.63599998,40.459999,76.095001
85,455,1,1,7,6,0,1,1.598,20.23,94.112999
86,464.17001,1,1,8,7,0,1,1.8940001,20.23,108.14
87,475.41,1,1,8,7,0,1,1.933,20.23,108.14
88,248.47,1,0,3,2,0,1,0.208,9.2299995,46.069
89,311.92999,1,0,5,4,0,1,1.163,9.2299995,74.123001
90,303.94,1,0,5,4,0,1,1.011,9.2299995,74.123001
91,342.82999,1,0,6,5,0,1,1.605,9.2299995,88.150002
92,331.70001,1,0,6,5,0,1,1.521,9.2299995,88.150002
93,307.59,1,0,5,4,0,1,0.88999999,9.2299995,74.123001
94,336.48001,1,0,6,5,0,1,1.5039999,9.2299995,88.150002
95,333.09,1,0,6,5,0,1,1.352,9.2299995,88.150002
