Iteration,BO(SP-GPR-SC),BO(SP-GPR),BO(GPR),MLR
0,372.07622006607147,372.07622006607147,372.07622006607147,372.07622006607147
1,193.04183417440476,225.4868797327381,131.53801356790296,282.07421706607136
2,113.15292882916667,138.3056605422619,123.43541835956962,202.25492714226192
3,39.57282268297619,109.72220080849567,123.13492085956963,116.70261325337303
4,25.82115232678572,52.008719066071436,110.60920759468866,69.47437898670634
5,19.333169308928568,45.82487814940477,106.83905944885532,59.06788048968254
6,15.349173808928573,41.36112702440475,105.00960203218865,47.514587323015874
7,13.368530666071427,39.38871144107143,104.44943519885533,31.537941333928565
8,10.075376999404773,35.67715194702382,104.44943519885533,25.058442333928568
9,8.181295291071436,34.23964969702382,104.44943519885533,13.811326196247412
10,7.52314676607144,27.10226053035715,104.44943519885533,13.040342971247417
11,7.52314676607144,25.514505426190475,104.44943519885533,13.001093971247423
12,7.230647766071442,25.48317059285714,104.24943519885532,11.803336719345248
13,7.230647766071442,25.216672009523798,104.24943519885532,9.718671719345247
14,6.045480191629002,24.848673759523805,104.24943519885532,9.405924469345246
15,5.606330591629001,23.757674259523803,104.24943519885532,9.405924469345246
16,5.147083341629002,23.757674259523803,104.24943519885532,8.664846052678575
17,4.422332091629005,23.221896346698205,104.24943519885532,7.490598226488094
18,3.9213370916290047,22.494355630905563,104.24943519885532,7.263472726488095
19,3.9213370916290047,21.607356630905553,104.24943519885532,7.263472726488095
20,3.7923364249623375,21.582605380905555,104.24943519885532,7.1819727264880955
