,L,a,b
0,82.8808303949,2.58361836189,6.16302028543
1,80.1919329653,4.15931227499,6.60606185405
2,78.1917609533,6.05937496478,14.737346075
3,81.9515646146,0.13530729019,2.65605130627
4,82.2742264737,3.72030745443,3.11706713609
5,78.9094738633,0.59655404962,4.44501272859
6,79.9761295656,5.0843701937,7.29153666536
7,85.8872374613,4.75015409158,4.71139145432
8,77.9643813715,1.60225357846,4.41300973806
9,82.9789841604,3.40774970288,5.31058738836
10,80.0759670366,5.99516853901,8.74726980419
11,79.1077347421,7.17729077505,15.5588425422
12,80.5489322637,3.45050612123,9.13785035404
13,87.7300813338,3.87473845607,0.00836286399859
14,85.5550201438,3.55331199177,5.10355288811
15,84.9074038871,5.51391942062,9.31387512443
16,80.9607749305,0.841672495071,4.74408270008
17,82.0048531384,-0.147336065805,2.5246418427
18,81.5139791128,1.11154642045,5.79401406541
19,84.004724229,6.03894457201,2.45588566136
20,79.0963177094,2.40220646124,6.55602267949
21,79.183472586,1.04094091123,3.1874602719
22,84.2032986989,0.940051441941,2.80305782481
23,82.2711805623,2.25918173999,10.3322728668
24,85.4135168412,1.47429364726,3.21826103473
25,81.0756069005,4.68798826725,7.02245742201
26,77.1815640257,6.99844208045,14.1080710007
27,89.2665183868,2.5772128508,0.722304507262
28,79.6126948224,-0.857491196515,3.56688146396
29,80.993540185,3.72564916487,2.24244908107
30,78.5538092732,1.25993336249,5.23815726209
31,82.6340086005,3.73485223899,3.85855037336
32,81.9668145437,2.90391514171,5.22985937523
33,77.0795080843,9.09441887268,7.06699905939
34,79.7077909058,4.98361164781,4.7181328523
35,80.7696249428,1.6165589579,5.85326191807
36,90.5959805533,3.0520111702,0.546019494462
37,81.7630347255,5.60595815562,12.1343037166
38,85.1710941619,1.00362502501,2.28795126806
39,73.959226469,8.32275993139,7.43002558974
40,79.833084039,1.23247535456,6.37114197693
41,89.1438948707,2.30893867975,1.64120689976
42,79.1349065576,2.38992012913,4.54547547937
43,77.7371551605,4.63522275298,6.12950066558
44,78.9040922947,-0.539179616103,2.32463558962
45,86.1761218733,1.33763861877,3.12264237013
46,79.7460749254,1.22102931186,5.54970655666
47,81.3618696995,4.92729785662,2.68179709651
48,78.8946002446,4.58057065536,9.830388001
49,80.218009589,6.15461879768,12.3568375203
50,85.6093970451,2.75941318291,3.44556553318
51,86.743668453,4.65828524274,6.52684993169
52,82.7911301737,4.47765257733,9.39818788432
53,81.2545746252,0.679281009257,3.37386770071
54,85.9444496803,3.83750741826,6.09714676019
55,80.4939399566,3.98749565707,6.2939429947
56,85.0971939029,2.41743723884,2.7299764667
57,83.0976193222,4.6670642725,2.63805998317
58,76.7154002724,6.06269457168,5.68183750335
59,79.4308140957,2.69648571372,6.2590745607
60,79.074730837,7.61447222515,5.80005752517
61,79.3572829384,7.3871051832,5.66224618486
62,77.9530990765,0.658376550065,3.42854402919
63,79.2401000563,1.06699944124,4.87975541284
64,78.7813804489,2.83499521353,8.26067206251
65,86.9594913314,2.12585608007,2.12569228232
66,79.7945284526,3.30869503793,9.95569096973
67,79.6729914012,1.1069633734,5.56276368166
68,77.2476189514,7.94835817691,5.52966858047
69,82.3537849742,1.62834335519,2.18855134881
70,80.9179073401,2.45238033303,2.87791462453
71,79.2121029025,6.62562113292,9.29769160598
72,83.0517786203,1.52634375914,2.77253573411
73,85.9928562686,2.91794819775,1.91792992883
74,76.3066745766,6.17718926758,10.5332800534
75,78.7874110612,3.63018628498,7.12804877172
76,81.8349588093,5.50268440334,6.68331774302
77,86.3729748135,-0.184764576106,2.22718467484
