,Bengala,Inari yellow clay,Tahara white clay,Lascaux black,Italian green clay,Blue gray powder
0,0,25,20,15,5,15
1,5,20,15,55,0,5
2,10,55,5,10,10,10
3,15,5,5,10,0,55
4,25,0,25,0,25,5
5,15,5,10,0,40,30
6,20,20,0,30,0,10
7,15,10,15,10,10,0
8,25,5,5,10,25,30
9,15,5,20,10,40,0
10,25,25,25,0,10,5
11,15,45,15,5,20,0
12,0,40,35,0,10,15
13,15,0,30,15,0,0
14,5,10,5,35,15,0
15,10,30,25,0,5,0
16,5,20,0,20,5,40
17,10,5,5,15,0,55
18,0,10,25,5,50,10
19,30,0,15,5,10,0
20,20,30,5,5,0,40
21,35,0,5,0,10,50
22,5,5,15,5,20,20
23,0,15,0,20,65,0
24,10,10,0,5,10,25
25,10,25,40,20,0,5
26,20,40,0,20,15,5
27,0,5,30,35,0,0
28,0,0,10,15,50,25
29,15,5,35,40,0,5
30,5,15,5,35,15,25
31,20,5,25,5,20,5
32,15,5,5,15,35,5
33,50,10,0,15,0,5
34,35,0,5,5,30,5
35,0,20,10,25,15,20
36,10,0,20,0,10,0
37,10,40,10,5,10,5
38,5,0,0,20,25,10
39,70,10,0,0,5,15
40,10,30,0,0,15,45
41,5,0,5,20,20,0
42,15,15,30,15,0,25
43,30,5,10,15,35,5
44,5,0,5,40,10,40
45,5,15,5,5,0,30
46,5,10,15,15,40,15
47,20,5,30,40,5,0
48,10,40,20,15,0,15
49,5,35,10,45,5,0
50,0,15,65,0,5,5
51,5,20,15,20,0,0
52,5,40,25,0,0,10
53,10,10,15,10,5,40
54,5,15,15,20,15,0
55,20,10,15,10,30,5
56,10,0,50,0,40,0
57,25,0,25,10,20,0
58,40,10,20,15,5,10
59,5,25,25,25,0,20
60,35,10,20,20,5,0
61,35,5,5,20,15,0
62,10,5,0,45,10,30
63,20,15,0,5,15,45
64,15,35,5,0,15,30
65,5,0,25,20,30,0
66,5,30,15,5,35,10
67,0,25,15,20,5,35
68,35,5,0,40,10,0
69,5,0,25,40,25,5
70,35,0,5,5,5,30
71,35,25,0,5,5,10
72,10,0,0,25,25,10
73,5,5,35,35,10,0
74,35,25,0,5,25,10
75,20,25,25,0,10,20
76,20,20,50,0,10,0
77,0,10,0,0,5,55
78,0,0,25,40,20,5
79,15,5,5,20,35,10
80,25,25,5,5,0,20
81,40,15,30,0,0,15
82,10,5,10,40,5,10
83,5,5,30,10,20,10
84,15,0,45,10,0,0
85,35,5,40,0,0,20
86,0,20,5,15,10,50
87,5,5,25,0,25,40
88,45,20,20,5,0,0
89,15,25,0,10,5,25
90,5,0,5,10,45,5
91,45,0,0,45,5,5
92,50,5,10,10,10,5
93,10,10,20,30,15,15
94,10,20,30,0,0,40
95,20,0,35,0,5,10
96,5,40,10,0,10,25
97,0,20,10,40,10,10
98,0,20,5,30,25,0
99,0,20,0,30,45,5
100,25,20,25,5,20,5
101,5,30,0,10,15,10
102,20,35,5,5,15,20
103,0,0,35,45,20,0
104,60,5,5,5,10,15
105,15,15,45,10,0,5
106,35,10,5,5,25,20
107,60,0,5,10,15,10
108,20,0,5,25,5,45
109,20,5,40,25,10,0
110,15,5,25,15,0,20
111,5,10,30,15,5,25
112,0,0,10,10,30,0
113,5,15,10,10,0,40
114,10,10,10,15,10,25
115,5,20,10,0,15,10
116,5,35,5,25,15,5
117,15,5,15,25,5,25
118,10,5,0,10,35,0
119,5,0,50,10,0,15
120,10,5,35,25,0,5
121,0,35,20,5,20,10
122,20,40,0,0,20,0
123,20,10,5,0,15,30
124,0,20,0,35,20,25
125,5,10,5,0,25,35
126,20,0,0,10,20,10
127,5,15,10,50,10,10
128,20,0,5,10,5,60
129,25,5,45,5,0,10
130,5,85,5,0,0,5
131,15,10,25,10,15,15
132,5,0,10,50,5,10
133,0,5,0,40,35,0
134,5,0,20,25,10,40
135,15,0,50,10,5,20
136,0,20,0,30,25,25
137,0,20,30,5,35,0
138,15,50,0,20,5,0
139,10,20,0,0,0,20
140,0,40,20,0,10,30
141,0,35,5,10,30,0
142,5,15,20,5,35,20
143,65,0,20,0,5,0
144,10,20,0,20,10,20
145,15,15,25,5,20,0
146,45,5,5,10,5,30
147,15,20,0,15,5,45
148,0,10,10,10,20,30
149,0,0,10,5,50,5
150,35,15,10,20,0,0
151,5,20,30,0,35,10
152,25,25,15,30,5,0
153,20,20,5,25,5,5
154,0,20,10,10,20,40
155,5,10,0,80,0,5
156,20,35,5,15,5,0
157,50,15,0,0,0,35
158,45,0,5,5,30,5
159,30,5,10,15,25,15
160,20,5,30,0,0,25
161,35,0,10,35,5,5
162,10,0,20,30,5,25
163,10,30,10,30,15,5
164,20,40,10,0,10,10
165,55,0,0,0,5,40
166,45,30,0,0,25,0
167,5,0,0,60,10,15
168,0,0,30,20,40,10
169,5,25,0,15,20,35
170,5,0,5,10,60,0
171,45,20,15,5,5,10
172,30,10,15,5,15,25
173,5,30,20,5,0,10
174,15,5,25,5,10,0
175,5,40,5,15,20,5
176,5,25,0,55,0,15
177,0,5,15,25,0,35
178,25,0,55,5,0,5
179,25,0,5,10,30,30
180,0,10,75,0,5,0
181,30,5,20,0,5,10
182,20,15,0,25,5,15
183,0,0,0,10,30,0
184,20,25,10,30,5,0
185,0,20,25,20,0,35
186,10,20,15,10,15,20
187,0,0,20,10,0,0
188,0,10,10,15,5,20
189,0,10,35,0,0,45
190,0,5,0,60,35,0
191,5,0,10,0,5,70
192,20,20,10,0,15,5
193,20,20,30,20,0,10
194,70,0,0,5,15,10
195,15,0,10,35,30,10
196,5,5,5,40,15,30
197,0,15,35,15,15,0
198,0,50,0,20,0,0
199,0,15,20,30,20,15
200,5,10,5,0,15,35
201,0,40,10,25,0,5
202,0,10,20,60,10,0
203,10,0,10,15,5,10
204,5,5,55,5,25,5
205,10,30,0,40,5,15
206,15,5,35,25,0,0
207,0,0,60,5,35,0
208,5,0,5,5,40,45
209,0,25,15,50,0,0
210,25,0,0,70,0,5
211,40,5,0,10,10,25
212,0,5,15,25,0,45
213,0,35,25,10,0,20
214,5,5,0,25,0,25
215,0,0,5,10,35,20
216,0,0,20,5,25,0
217,5,20,25,25,15,10
218,15,10,0,5,0,0
219,10,0,15,50,25,0
220,30,20,0,25,15,0
221,5,10,40,0,20,15
222,0,0,0,15,20,25
223,0,0,20,10,15,55
224,25,10,0,60,5,0
225,10,50,0,5,0,35
226,0,30,35,0,20,5
227,35,0,0,40,10,5
228,40,5,0,10,10,5
229,0,15,35,10,5,5
230,10,5,25,10,10,30
231,45,0,5,30,0,20
232,0,10,10,5,15,40
233,55,0,5,0,25,15
234,55,0,0,20,10,5
235,0,40,0,0,10,50
236,10,15,5,20,40,10
237,10,15,10,10,15,0
238,45,10,20,0,5,0
239,20,10,40,10,10,0
240,25,5,15,10,35,0
241,5,0,5,10,40,30
242,20,5,0,10,20,35
243,25,15,0,0,60,0
244,50,0,10,5,30,5
245,15,5,0,40,0,0
246,20,30,20,5,10,5
247,5,5,35,15,10,20
248,15,15,50,10,0,0
249,10,5,10,0,35,30
250,5,15,0,45,5,0
251,10,0,30,25,0,15
252,10,10,0,0,55,25
253,20,0,0,40,30,10
254,10,5,10,15,20,0
255,10,0,10,15,15,40
256,0,5,35,30,10,10
257,10,20,15,0,5,30
258,30,15,15,15,10,5
259,0,25,15,0,15,25
260,0,0,20,0,55,25
261,60,20,10,10,0,0
262,25,5,5,5,5,55
263,20,10,15,15,0,30
264,0,15,0,25,60,0
265,25,15,0,20,5,25
266,5,10,15,10,30,20
267,15,0,0,5,10,0
268,15,10,15,20,35,5
269,10,20,30,0,15,5
270,15,0,0,20,55,0
271,5,60,0,0,5,20
272,30,25,0,25,5,15
273,10,50,30,0,10,0
274,20,20,10,30,15,5
275,0,10,15,10,0,65
276,45,15,15,5,0,20
277,15,35,30,0,5,15
278,5,30,0,5,0,50
279,5,0,5,60,20,10
280,30,0,35,0,0,5
281,0,5,25,15,5,0
282,20,25,10,0,15,10
283,5,15,0,0,50,10
284,5,15,45,15,0,20
285,0,5,45,10,40,0
286,25,5,25,5,10,20
287,55,5,10,0,20,10
288,15,20,5,5,15,10
289,55,0,5,5,15,10
290,0,10,0,40,15,25
291,0,25,5,15,25,0
292,25,10,15,0,15,15
293,0,25,10,20,5,40
294,20,15,40,0,10,15
295,5,0,25,35,5,20
296,20,15,15,20,5,25
297,0,10,5,0,20,35
298,15,10,60,5,0,0
299,30,0,40,25,0,5
300,50,0,25,10,10,5
301,5,0,50,10,35,0
302,55,10,10,5,5,5
303,15,50,5,5,25,0
304,0,0,0,40,50,0
305,0,10,30,20,5,25
306,10,10,35,25,5,15
307,10,10,55,10,10,5
308,25,20,20,0,0,35
309,25,10,10,30,5,10
310,10,10,30,5,0,5
311,20,25,15,5,25,0
312,0,15,25,5,0,35
313,20,5,0,5,55,5
314,25,20,0,0,5,0
315,0,5,10,70,0,5
316,15,35,0,5,40,5
317,0,35,25,30,10,0
318,35,35,0,0,0,30
319,20,0,15,20,15,20
320,0,40,10,20,15,15
321,15,0,60,10,0,5
322,15,5,20,5,5,30
323,0,0,0,0,20,40
324,50,0,15,0,20,15
325,40,10,20,15,0,5
326,30,5,20,5,0,10
327,40,20,5,0,25,10
328,30,15,5,15,0,15
329,15,15,20,30,0,20
330,10,5,15,20,15,5
331,10,55,20,0,10,5
332,10,10,10,20,35,15
333,0,20,15,35,15,5
334,5,15,15,25,15,25
335,15,35,25,5,5,5
336,10,20,25,10,10,5
337,10,25,0,0,5,60
338,25,10,5,0,60,0
339,20,40,15,0,0,5
340,20,15,25,0,5,35
341,25,0,10,0,30,35
342,50,20,10,5,10,5
343,20,10,5,0,30,15
344,0,20,10,45,0,5
345,0,5,5,15,25,30
346,25,10,10,5,15,35
347,10,0,30,0,10,20
348,10,30,30,20,0,10
349,10,5,0,25,30,10
350,15,40,15,0,5,15
351,5,50,0,15,0,20
352,15,0,5,20,10,50
353,10,15,15,15,35,0
